Tag,departure_start,departure_stop,return_start,return_stop,comment,use in analysis,sex,cave_group
PH_TS_014_2022-03-07,2022-03-07 01:11:00,2022-03-07 01:59:00,2022-03-07 07:08:00,2022-03-07 07:59:00,return,yes,m,ajcave
PH_TS_014_2022-03-08,2022-03-08 01:31:00,2022-03-08 02:21:00,2022-03-08 06:41:00,2022-03-08 07:27:00,both,yes,m,ajcave
PH_TS_014_2022-03-09,2022-03-09 01:46:00,2022-03-09 02:42:00,2022-03-09 06:37:00,2022-03-09 07:26:00,both,yes,m,ajcave
PH_TS_014_2022-03-10,2022-03-10 03:35:00,2022-03-10 04:42:00,2022-03-10 07:56:00,2022-03-10 08:45:00,both,yes,m,ajcave
PH_TS_014_2022-03-11,2022-03-11 04:28:00,2022-03-11 05:13:00,2022-03-11 09:15:00,2022-03-11 11:41:00,incomplete,no,m,ajcave
PH_TS_014_2022-03-12,2022-03-12 04:25:00,2022-03-12 05:18:00,2022-03-12 09:10:00,2022-03-12 09:59:00,incomplete,yes,m,ajcave
PH_TS_014_2022-03-13,2022-03-13 05:29:00,2022-03-13 06:29:00,2022-03-13 09:48:00,2022-03-13 10:38:00,departure,no,m,ajcave
PH_TS_014_2022-03-14,2022-03-14 01:42:00,2022-03-14 02:23:00,2022-03-14 09:08:00,2022-03-14 09:44:00,departure,yes,m,ajcave
PH_TS_014_2022-03-15,2022-03-15 04:20:00,2022-03-15 04:56:00,2022-03-15 10:00:00,2022-03-15 10:33:00,incomplete,no,m,ajcave
PH_TS_014_2022-03-16,2022-03-16 00:24:00,2022-03-16 01:12:00,2022-03-16 07:46:00,2022-03-16 08:33:00,return,yes,m,ajcave
PH_TS_016_2022-03-08,2022-03-08 02:43:00,2022-03-08 03:26:00,2022-03-08 07:51:00,2022-03-08 08:34:00,return,yes,m,ajcave
PH_TS_016_2022-03-09,2022-03-09 03:27:00,2022-03-09 04:09:00,2022-03-09 07:50:00,2022-03-09 08:26:00,both,yes,m,ajcave
PH_TS_016_2022-03-10,2022-03-10 03:36:00,2022-03-10 04:20:00,2022-03-10 08:14:00,2022-03-10 08:58:00,both,yes,m,ajcave
PH_TS_016_2022-03-11,2022-03-11 03:20:00,2022-03-11 04:07:00,2022-03-11 08:58:00,2022-03-11 09:32:00,departure,yes,m,ajcave
PH_TS_016_2022-03-12,2022-03-12 04:45:00,2022-03-12 05:25:00,2022-03-12 09:25:00,2022-03-12 10:14:00,incomplete,yes,m,ajcave
PH_TS_016_2022-03-13,2022-03-13 04:53:00,2022-03-13 05:45:00,2022-03-13 09:38:00,2022-03-13 15:07:00,no gps,no,m,ajcave
PH_TS_016_2022-03-14,2022-03-14 03:30:00,2022-03-14 04:06:00,2022-03-14 09:10:00,2022-03-14 09:42:00,incomplete,yes,m,ajcave
PH_TS_016_2022-03-15,2022-03-15 23:56:00,2022-03-15 00:21:00,2022-03-15 04:55:00,2022-03-15 05:19:00,no gps,no,m,ajcave
PH_TS_016_2022-03-16,2022-03-16 04:44:00,2022-03-16 05:31:00,2022-03-16 09:36:00,2022-03-16 10:06:00,departure,no,m,ajcave
PH_TS_016_2022-03-17,2022-03-17 23:49:00,2022-03-17 00:15:00,2022-03-17 02:03:00,2022-03-17 02:48:00,departure,no,m,ajcave
PH_TS_018_2022-03-08,2022-03-08 01:51:00,2022-03-08 02:44:00,2022-03-08 07:56:00,2022-03-08 08:48:00,both,yes,f,ajcave
PH_TS_018_2022-03-09,2022-03-09 03:39:00,2022-03-09 04:31:00,2022-03-09 02:53:00,2022-03-09 03:47:00,return,yes,f,lagruta
PH_TS_018_2022-03-10,2022-03-10 04:44:00,2022-03-10 05:51:00,2022-03-10 07:58:00,2022-03-10 08:57:00,both,yes,f,lagruta
PH_TS_018_2022-03-11,2022-03-11 04:27:00,2022-03-11 05:27:00,2022-03-11 08:47:00,2022-03-11 09:38:00,departure,yes,f,lagruta
PH_TS_018_2022-03-12,2022-03-12 05:47:00,2022-03-12 06:37:00,2022-03-12 09:08:00,2022-03-12 10:09:00,departure,no,f,lagruta
PH_TS_018_2022-03-13,2022-03-13 05:26:00,2022-03-13 06:11:00,2022-03-13 09:39:00,2022-03-13 10:34:00,departure,yes,f,lagruta
PH_TS_018_2022-03-14,2022-03-13 23:57:00,2022-03-14 00:22:00,2022-03-14 10:41:00,2022-03-14 11:01:00,no gps,no,f,lagruta
PH_TS_018_2022-03-15,2022-03-14 23:50:00,2022-03-15 00:18:00,,,incomplete,no,f,lagruta
PH_TS_018_2022-03-16,2022-03-15 23:50:00,2022-03-16 00:27:00,2022-03-16 04:12:00,2022-03-16 04:30:00,no gps,no,f,lagruta
PH_TS_018_2022-03-17,2022-03-16 23:50:00,2022-03-17 00:22:00,2022-03-17 03:45:00,2022-03-17 04:09:00,no gps,no,f,lagruta
PH_TS_018_2022-03-18,2022-03-17 23:54:00,2022-03-18 00:22:00,2022-03-18 03:45:00,2022-03-18 04:09:00,no gps,no,f,lagruta
PH_TS_039_2022-03-08,2022-03-08 00:27:00,2022-03-08 01:01:00,2022-03-08 07:01:00,2022-03-08 07:42:00,incomplete,yes,f,lagruta
PH_TS_039_2022-03-09,2022-03-09 01:58:00,2022-03-09 02:43:00,2022-03-09 07:22:00,2022-03-09 08:00:00,both,yes,f,lagruta
PH_TS_039_2022-03-10,2022-03-10 03:34:00,2022-03-10 04:22:00,2022-03-10 08:40:00,2022-03-10 09:22:00,incomplete,yes,f,lagruta
PH_TS_039_2022-03-11,2022-03-11 04:10:00,2022-03-11 04:54:00,2022-03-11 09:03:00,2022-03-11 09:45:00,departure,no,f,lagruta
PH_TS_039_2022-03-12,2022-03-12 03:59:00,2022-03-12 04:43:00,2022-03-12 09:33:00,2022-03-12 10:11:00,departure,no,f,lagruta
PH_TS_039_2022-03-13,2022-03-13 05:00:00,2022-03-13 05:56:00,2022-03-13 08:25:00,2022-03-13 09:27:00,incomplete,no,f,lagruta
PH_TS_046_2022-03-08,2022-03-08 00:24:00,2022-03-08 00:49:00,2022-03-08 06:00:00,2022-03-08 06:40:00,both,yes,f,lagruta
PH_TS_046_2022-03-09,2022-03-09 02:28:00,2022-03-09 02:57:00,2022-03-09 07:40:00,2022-03-09 08:08:00,both,yes,f,lagruta
PH_TS_046_2022-03-10,2022-03-10 02:21:00,2022-03-10 02:51:00,2022-03-10 07:09:00,2022-03-10 07:34:00,incomplete,yes,f,lagruta
PH_TS_046_2022-03-11,2022-03-11 03:19:00,2022-03-11 04:12:00,2022-03-11 07:26:00,2022-03-11 08:00:00,incomplete,yes,f,lagruta
PH_TS_056_2022-03-08,2022-03-08 01:12:00,2022-03-08 01:32:00,2022-03-08 03:42:00,2022-03-08 04:02:00,incomplete,yes,f,muddycave
PH_TS_056_2022-03-09,2022-03-09 02:19:00,2022-03-09 02:41:00,2022-03-09 05:24:00,2022-03-09 05:50:00,return,yes,f,muddycave
PH_TS_062_2022-03-07,2022-03-07 01:56:00,2022-03-07 02:24:00,2022-03-07 06:03:00,2022-03-07 06:35:00,return,yes,f,muddycave
PH_TS_062_2022-03-08,2022-03-08 02:10:00,2022-03-08 02:31:00,2022-03-08 05:23:00,2022-03-08 05:59:00,incomplete,yes,f,muddycave
PH_TS_062_2022-03-09,2022-03-09 03:19:00,2022-03-09 04:12:00,2022-03-09 06:38:00,2022-03-09 07:15:00,incomplete,yes,f,muddycave
PH_TS_062_2022-03-10,2022-03-10 03:54:00,2022-03-10 04:29:00,2022-03-10 07:24:00,2022-03-10 07:53:00,incomplete,yes,f,muddycave
PH_TS_062_2022-03-11,2022-03-11 04:06:00,2022-03-11 04:42:00,2022-03-11 07:46:00,2022-03-11 08:16:00,08/01/1900 00:00,yes,f,muddycave
PH_TS_072_2022-03-08,2022-03-08 01:57:00,2022-03-08 02:44:00,2022-03-08 05:23:00,2022-03-08 06:07:00,incomplete,yes,f,muddycave
PH_TS_072_2022-03-09,2022-03-09 03:20:00,2022-03-09 04:12:00,2022-03-09 06:32:00,2022-03-09 07:05:00,incomplete,yes,f,muddycave
PH_TS_072_2022-03-10,2022-03-10 04:10:00,2022-03-10 05:06:00,2022-03-10 07:33:00,2022-03-10 08:04:00,incomplete,yes,f,muddycave
PH_TS_072_2022-03-11,2022-03-11 05:05:00,2022-03-11 05:46:00,2022-03-11 08:38:00,2022-03-11 09:08:00,incomplete,yes,f,muddycave
PH_TS_072_2022-03-12,2022-03-12 06:01:00,2022-03-12 06:28:00,2022-03-12 08:27:00,2022-03-12 09:00:00,both,yes,f,muddycave
PH_TS_072_2022-03-16,2022-03-16 00:05:00,2022-03-16 00:22:00,2022-03-16 02:28:00,2022-03-16 03:09:00,incomplete,yes,f,muddycave
PH_TS_072_2022-03-19,2022-03-19 00:24:00,2022-03-19 00:57:00,2022-03-19 02:24:00,2022-03-19 03:00:00,incomplete,yes,f,muddycave
PH_TS_072_2022-03-20,2022-03-20 00:27:00,2022-03-20 00:39:00,2022-03-20 02:37:00,2022-03-20 03:10:00,both,yes,f,muddycave
